stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_code,stop_desc,stop_url,stop_timezone,wheelchair_boarding,platform_code,区名
S280100000100100,ＪＲ六甲道,34.7156342183822,135.238774850057,Z000000,0,,,,,,,１,灘区
S280100000100200,ＪＲ六甲道,34.7153738260739,135.23846238424,Z000000,0,,,,,,,２,灘区
S280100000100300,ＪＲ六甲道,34.7155387394778,135.238531817986,Z000000,0,,,,,,,３,灘区
S280100000100400,ＪＲ六甲道,34.7153130720927,135.238705420821,Z000000,0,,,,,,,４,灘区
S280100000100500,ＪＲ六甲道,34.7154432689441,135.238913732622,Z000000,0,,,,,,,５番おりば,灘区
S280100000200100,六甲口,34.7176391978945,135.238115125869,Z000620,0,,,,,,,１,灘区
S280100000200200,六甲口,34.7175524042532,135.238288724762,Z000620,0,,,,,,,２,灘区
S280100000200300,六甲口,34.7170489767943,135.23752491539,Z000620,0,,,,,,,３,灘区
S280100000200400,六甲口,34.7169708632204,135.237733233291,Z000620,0,,,,,,,４,灘区
S280100000300100,阪急六甲,34.7200173572746,135.234504250169,Z000630,0,,,,,,,１,灘区
S280100000300200,阪急六甲,34.7203298167994,135.234191767621,Z000630,0,,,,,,,２,灘区
S280100000300300,阪急六甲,34.7194965927357,135.235268090401,Z000630,0,,,,,,,３,灘区
S280100000300400,阪急六甲,34.7199826518712,135.235406953614,Z000630,0,,,,,,,４,灘区
S280100000300500,阪急六甲,34.7194097977301,135.23533753154,Z000630,0,,,,,,,５,灘区
S280100000300600,阪急六甲,34.7191841354972,135.235858327484,Z000630,0,,,,,,,６,灘区
S280100000300700,阪急六甲,34.7203211329036,135.233879292559,Z000630,0,,,,,,,７,灘区
S280100000300800,阪急六甲,34.7204426466503,135.233879289735,Z000630,0,,,,,,,８,灘区
S280100000400100,六甲登山口,34.7218139865545,135.231691931358,Z000640,0,,,,,,,１,灘区
S280100000400200,六甲登山口,34.7211630358105,135.232872408339,Z000640,0,,,,,,,２,灘区
S280100000400300,六甲登山口,34.7211977459688,135.232282176537,Z000640,0,,,,,,,３,灘区
S280100000500100,篠原本町２丁目,34.7219875426996,135.229087967295,Z002460,0,,,,,,,１,灘区
S280100000500200,篠原本町２丁目,34.7220222740244,135.230060111594,Z002460,0,,,,,,,２,灘区
S280100000600100,篠原本町３丁目,34.7218833537641,135.226553448503,Z002450,0,,,,,,,１,灘区
S280100000600200,篠原本町３丁目,34.7221611088612,135.227213112135,Z002450,0,,,,,,,２,灘区
S280100000700100,護国神社前,34.7206768661504,135.224574465677,Z002440,0,,,,,,,１,灘区
S280100000700200,護国神社前,34.7212931268732,135.225372999776,Z002440,0,,,,,,,２,灘区
S280100000800100,五毛,34.719817563649,135.222873230855,Z000550,0,,,,,,,１,灘区
S280100000800200,五毛,34.7195137588197,135.221831656914,Z000550,0,,,,,,,２,灘区
S280100000800300,五毛,34.7198002033894,135.222803792352,Z000550,0,,,,,,,３,灘区
S280100000900100,五毛天神,34.717803833559,135.220095736454,Z002430,0,,,,,,,１,灘区
S280100000900200,五毛天神,34.7177951489417,135.219852701712,Z002430,0,,,,,,,２,灘区
S280100001000100,観音寺,34.7164931397261,135.216693276511,Z002420,0,,,,,,,１,灘区
